t,x,y,state
1783370953.23,0.5902,-2.7925,DONE
1783370953.33,0.5902,-2.7925,DONE
1783370953.48,0.5902,-2.7925,DONE
1783370953.59,0.5902,-2.7925,DONE
1783370953.70,0.5902,-2.7925,DONE
1783370953.83,0.5902,-2.7925,DONE
1783370953.96,0.5902,-2.7925,DONE
1783370954.09,0.5902,-2.7925,DONE
1783370954.21,0.5902,-2.7925,DONE
1783370954.36,0.5902,-2.7925,DONE
1783370954.46,0.5902,-2.7925,DONE
1783370954.56,0.5902,-2.7925,DONE
1783370954.70,0.5902,-2.7925,DONE
1783370954.81,0.5902,-2.7925,DONE
1783370954.95,0.5902,-2.7925,DONE
1783370955.07,0.5902,-2.7925,DONE
1783370955.21,0.5902,-2.7925,DONE
1783370955.32,0.5902,-2.7925,DONE
1783370955.46,0.5902,-2.7925,DONE
1783370955.60,0.5902,-2.7925,DONE
1783370955.69,0.5902,-2.7925,DONE
1783370955.83,0.5902,-2.7925,DONE
1783370955.94,0.5902,-2.7925,DONE
1783370956.08,0.5902,-2.7925,DONE
1783370956.20,0.5902,-2.7925,DONE
1783370956.33,0.5902,-2.7925,DONE
1783370956.45,0.5902,-2.7925,DONE
1783370956.57,0.5902,-2.7925,DONE
1783370956.68,0.5902,-2.7925,DONE
1783370956.84,0.5902,-2.7925,DONE
1783370956.94,0.5902,-2.7925,DONE
1783370957.10,0.5902,-2.7925,DONE
1783370957.21,0.5902,-2.7925,DONE
1783370957.37,0.5902,-2.7925,DONE
1783370957.45,0.5902,-2.7925,DONE
1783370957.58,0.5902,-2.7925,DONE
1783370957.70,0.5902,-2.7925,DONE
1783370957.84,0.5902,-2.7925,DONE
1783370957.96,0.5902,-2.7925,DONE
1783370958.08,0.5902,-2.7925,DONE
1783370958.21,0.5902,-2.7925,DONE
1783370958.31,0.5902,-2.7925,DONE
1783370958.46,0.5902,-2.7925,DONE
1783370958.59,0.5902,-2.7925,DONE
1783370958.69,0.5902,-2.7925,DONE
1783370958.85,0.5902,-2.7925,DONE
1783370959.00,0.5902,-2.7925,DONE
1783370959.08,0.5902,-2.7925,DONE
1783370959.22,0.5902,-2.7925,DONE
1783370959.33,0.5902,-2.7925,DONE
1783370959.47,0.5902,-2.7925,DONE
1783370959.60,0.5902,-2.7925,DONE
1783370959.75,0.5902,-2.7925,DONE
1783370959.84,0.5902,-2.7925,DONE
1783370959.94,0.5902,-2.7925,DONE
1783370960.10,0.5902,-2.7925,DONE
1783370960.19,0.5902,-2.7925,DONE
1783370960.34,0.5902,-2.7925,DONE
1783370960.45,0.5902,-2.7925,DONE
1783370960.60,0.5902,-2.7925,DONE
1783370960.71,0.5902,-2.7925,DONE
1783370960.84,0.5902,-2.7925,DONE
1783370960.98,0.5902,-2.7925,DONE
1783370961.09,0.5902,-2.7925,DONE
1783370961.21,0.5902,-2.7925,DONE
1783370961.32,0.5902,-2.7925,DONE
1783370961.50,0.5902,-2.7925,DONE
1783370961.58,0.5902,-2.7925,DONE
1783370961.71,0.5902,-2.7925,DONE
1783370961.82,0.5902,-2.7925,DONE
1783370961.97,0.5902,-2.7925,DONE
1783370962.07,0.5902,-2.7925,DONE
1783370962.22,0.5902,-2.7925,DONE
1783370962.34,0.5902,-2.7925,DONE
1783370962.48,0.5902,-2.7925,DONE
1783370962.65,0.5902,-2.7925,DONE
1783370962.72,0.5902,-2.7925,DONE
1783370962.83,0.5902,-2.7925,DONE
1783370962.97,0.5902,-2.7925,DONE
1783370963.09,0.5902,-2.7925,DONE
1783370963.21,0.5902,-2.7925,DONE
1783370963.33,0.5902,-2.7925,DONE
1783370963.45,0.5902,-2.7925,DONE
1783370963.62,0.5902,-2.7925,DONE
1783370963.71,0.5902,-2.7925,DONE
1783370963.84,0.5902,-2.7925,DONE
1783370963.94,0.5902,-2.7925,DONE
1783370964.10,0.5902,-2.7925,DONE
1783370964.21,0.5902,-2.7925,DONE
1783370964.36,0.5902,-2.7925,DONE
1783370964.45,0.5902,-2.7925,DONE
1783370964.60,0.5902,-2.7925,DONE
1783370964.71,0.5902,-2.7925,DONE
1783370964.84,0.5902,-2.7925,DONE
1783370964.97,0.5902,-2.7925,DONE
1783370965.09,0.5902,-2.7925,DONE
1783370965.21,0.5902,-2.7925,DONE
1783370965.36,0.5902,-2.7925,DONE
1783370965.45,0.5902,-2.7925,DONE
1783370965.59,0.5902,-2.7925,DONE
1783370965.71,0.5902,-2.7925,DONE
1783370965.86,0.5902,-2.7925,DONE
1783370965.96,0.5902,-2.7925,DONE
1783370966.11,0.5902,-2.7925,DONE
1783370966.22,0.5902,-2.7925,DONE
1783370966.35,0.5902,-2.7925,DONE
1783370966.47,0.5902,-2.7925,DONE
1783370966.60,0.5902,-2.7925,DONE
1783370996.24,-0.0281,-0.0268,DONE
1783370996.36,-0.0281,-0.0268,DONE
1783370996.49,-0.0281,-0.0268,DONE
1783370996.60,-0.0281,-0.0268,DONE
1783370996.75,-0.0281,-0.0268,DONE
1783370996.87,-0.0281,-0.0268,DONE
1783370996.97,-0.0281,-0.0268,DONE
1783370997.10,-0.0281,-0.0268,DONE
1783370997.20,-0.0281,-0.0268,DONE
1783370997.34,-0.0281,-0.0268,DONE
1783370997.48,-0.0281,-0.0268,DONE
1783370997.59,-0.0281,-0.0268,DONE
1783370997.75,-0.0281,-0.0268,DONE
1783370997.86,-0.0281,-0.0268,DONE
1783370997.98,-0.0281,-0.0268,DONE
1783370998.10,-0.0281,-0.0268,DONE
1783370998.21,-0.0281,-0.0268,LOCALIZE
1783370998.35,-0.0281,-0.0268,DONE
1783370998.49,-0.0281,-0.0268,DONE
1783370998.59,-0.0281,-0.0268,DONE
1783370998.72,-0.0281,-0.0268,DONE
1783370998.85,-0.0281,-0.0268,DONE
1783370998.98,-0.0281,-0.0268,DONE
1783370999.12,-0.0281,-0.0268,DONE
1783370999.22,-0.0281,-0.0268,DONE
1783370999.34,-0.0281,-0.0268,DONE
1783370999.48,-0.0281,-0.0268,DONE
1783370999.60,-0.0281,-0.0268,DONE
1783370999.72,-0.0281,-0.0268,DONE
1783370999.84,-0.0281,-0.0268,DONE
1783370999.96,-0.0281,-0.0268,LOCALIZE
1783371000.11,-0.0281,-0.0268,DONE
1783371000.23,-0.0281,-0.0268,DONE
1783371000.35,-0.0281,-0.0268,DONE
1783371000.47,-0.0281,-0.0268,DONE
1783371000.59,-0.0281,-0.0268,DONE
1783371000.71,-0.0281,-0.0268,LOCALIZE
1783371000.85,-0.0281,-0.0268,DONE
1783371000.98,-0.0281,-0.0268,DONE
1783371001.09,-0.0281,-0.0268,DONE
1783371001.22,-0.0281,-0.0268,DONE
1783371001.35,-0.0281,-0.0268,DONE
1783371001.50,-0.0281,-0.0268,DONE
1783371001.60,-0.0281,-0.0268,DONE
1783371001.75,-0.0281,-0.0268,DONE
1783371001.84,-0.0281,-0.0268,DONE
1783371001.97,-0.0281,-0.0268,DONE
1783371002.10,-0.0281,-0.0268,DONE
1783371002.25,-0.0281,-0.0268,DONE
1783371002.35,-0.0281,-0.0268,DONE
1783371002.46,-0.0281,-0.0268,LOCALIZE
1783371002.61,-0.0281,-0.0268,DONE
1783371002.72,-0.0281,-0.0268,DONE
1783371002.86,-0.0281,-0.0268,DONE
1783371002.99,-0.0281,-0.0268,DONE
1783371003.10,-0.0281,-0.0268,DONE
1783371003.23,-0.0281,-0.0268,DONE
1783371003.35,-0.0281,-0.0268,DONE
1783371003.49,-0.0281,-0.0268,DONE
1783371003.60,-0.0281,-0.0268,DONE
1783371003.73,-0.0281,-0.0268,DONE
1783371003.86,-0.0281,-0.0268,DONE
1783371003.98,-0.0281,-0.0268,DONE
1783371004.10,-0.0281,-0.0268,DONE
1783371004.23,-0.0281,-0.0268,DONE
1783371004.36,-0.0281,-0.0268,DONE
1783371004.49,-0.0281,-0.0268,DONE
1783371004.62,-0.0281,-0.0268,DONE
1783371004.73,-0.0281,-0.0268,DONE
1783371004.89,-0.0281,-0.0268,DONE
1783371004.97,-0.0281,-0.0268,DONE
1783371005.10,-0.0281,-0.0268,DONE
1783371005.24,-0.0281,-0.0268,DONE
1783371005.37,-0.0281,-0.0268,DONE
1783371005.48,-0.0281,-0.0268,DONE
1783371005.62,-0.0281,-0.0268,DONE
1783371005.72,-0.0281,-0.0268,DONE
1783371005.86,-0.0281,-0.0268,DONE
1783371006.00,-0.0281,-0.0268,DONE
1783371006.11,-0.0281,-0.0268,DONE
1783371006.24,-0.0281,-0.0268,DONE
1783371006.36,-0.0281,-0.0268,DONE
1783371006.49,-0.0281,-0.0268,DONE
1783371006.61,-0.0281,-0.0268,DONE
1783371006.73,-0.0281,-0.0268,DONE
1783371006.85,-0.0281,-0.0268,DONE
1783371006.99,-0.0281,-0.0268,DONE
1783371007.11,-0.0281,-0.0268,DONE
1783371007.24,-0.0281,-0.0268,DONE
1783371007.40,-0.0281,-0.0268,DONE
1783371007.49,-0.0281,-0.0268,DONE
1783371007.61,-0.0281,-0.0268,DONE
1783371007.74,-0.0281,-0.0268,DONE
1783371007.88,-0.0281,-0.0268,DONE
1783371007.98,-0.0281,-0.0268,DONE
1783371008.10,-0.0281,-0.0268,DONE
1783371008.24,-0.0281,-0.0268,DONE
1783371008.37,-0.0281,-0.0268,DONE
1783371008.49,-0.0281,-0.0268,DONE
1783371008.61,-0.0281,-0.0268,DONE
1783371008.74,-0.0281,-0.0268,DONE
1783371008.86,0.4769,-0.2607,DONE
1783371009.00,0.4769,-0.2607,DONE
1783371009.11,0.4769,-0.2607,DONE
1783371009.23,0.4769,-0.2607,DONE
1783371009.36,0.4769,-0.2607,DONE
1783371009.50,0.4769,-0.2607,DONE
1783371009.62,0.4769,-0.2607,DONE
1783371009.76,0.4769,-0.2607,DONE
1783371009.87,0.4769,-0.2607,DONE
1783371010.01,0.4769,-0.2607,DONE
1783371010.17,0.4769,-0.2607,DONE
1783371010.27,0.4769,-0.2607,DONE
1783371010.36,0.4769,-0.2607,DONE
1783371010.49,0.4769,-0.2607,DONE
1783371010.62,0.4769,-0.2607,DONE
1783371010.75,0.4769,-0.2607,DONE
1783371010.87,0.4769,-0.2607,DONE
1783371010.99,0.4769,-0.2607,DONE
1783371011.13,0.4769,-0.2607,DONE
1783371011.23,0.4769,-0.2607,DONE
1783371011.36,0.4769,-0.2607,DONE
1783371011.50,0.4769,-0.2607,DONE
1783371011.62,0.4769,-0.2607,DONE
1783371011.74,0.4769,-0.2607,DONE
1783371011.84,0.4769,-0.2607,DONE
1783371011.98,0.4769,-0.2607,DONE
1783371012.09,0.4769,-0.2607,DONE
1783371012.25,0.4769,-0.2607,DONE
1783371012.38,0.4769,-0.2607,DONE
1783371012.48,0.4769,-0.2607,DONE
1783371012.63,0.4769,-0.2607,DONE
1783371012.77,0.4769,-0.2607,DONE
1783371012.90,0.4769,-0.2607,DONE
1783371012.97,0.4769,-0.2607,DONE
1783371013.10,0.4769,-0.2607,DONE
1783371013.23,0.4769,-0.2607,DONE
1783371013.35,0.4769,-0.2607,DONE
1783371013.52,0.4769,-0.2607,DONE
1783371013.59,0.4769,-0.2607,DONE
1783371013.75,0.4769,-0.2607,DONE
1783371013.87,0.4769,-0.2607,DONE
1783371013.99,0.4769,-0.2607,DONE
1783371014.11,0.4769,-0.2607,DONE
1783371014.22,0.4474,-0.3032,DONE
1783371014.37,0.4474,-0.3032,DONE
1783371014.50,0.4474,-0.3032,DONE
1783371014.59,0.4474,-0.3032,DONE
1783371014.75,0.4474,-0.3032,DONE
1783371014.90,0.4474,-0.3032,DONE
1783371014.99,0.4474,-0.3032,DONE
1783371015.11,0.4474,-0.3032,DONE
1783371015.24,0.4474,-0.3032,DONE
1783371015.38,0.4474,-0.3032,DONE
1783371015.48,0.4474,-0.3032,DONE
1783371015.62,0.4474,-0.3032,DONE
1783371015.73,0.4474,-0.3032,DONE
1783371015.88,0.4474,-0.3032,DONE
1783371015.99,0.4474,-0.3032,DONE
1783371016.11,0.4474,-0.3032,DONE
1783371016.26,0.4474,-0.3032,DONE
1783371016.39,0.4474,-0.3032,DONE
1783371016.49,0.4474,-0.3032,DONE
1783371016.62,0.4474,-0.3032,DONE
1783371016.72,0.4474,-0.3032,DONE
1783371016.88,0.4474,-0.3032,DONE
1783371016.99,0.4474,-0.3032,DONE
1783371017.13,0.4474,-0.3032,DONE
1783371017.25,0.4474,-0.3032,DONE
1783371017.36,0.4474,-0.3032,DONE
1783371017.52,0.4474,-0.3032,DONE
1783371017.60,0.4474,-0.3032,DONE
1783371017.75,0.4474,-0.3032,DONE
1783371017.87,0.4474,-0.3032,DONE
1783371017.98,0.4474,-0.3032,DONE
1783371018.11,0.4474,-0.3032,DONE
1783371018.22,0.4474,-0.3032,DONE
1783371018.40,0.4474,-0.3032,DONE
1783371018.51,0.4474,-0.3032,DONE
1783371018.61,0.4474,-0.3032,DONE
1783371018.73,0.4474,-0.3032,DONE
1783371018.87,0.4474,-0.3032,DONE
1783371019.00,0.4474,-0.3032,DONE
1783371019.10,0.4474,-0.3032,DONE
1783371019.26,0.4474,-0.3032,DONE
1783371019.36,0.4474,-0.3032,DONE
1783371019.48,0.4474,-0.3032,DONE
1783371019.64,0.4474,-0.3032,DONE
1783371019.75,0.4474,-0.3032,DONE
1783371019.89,0.4474,-0.3032,DONE
1783371019.99,0.3637,-0.2618,DONE
1783371020.12,0.3637,-0.2618,DONE
1783371020.36,0.3637,-0.2618,DONE
1783371020.41,0.3637,-0.2618,DONE
1783371020.51,0.3637,-0.2618,DONE
1783371020.62,0.3637,-0.2618,DONE
1783371020.76,0.3637,-0.2618,DONE
1783371020.89,0.3637,-0.2618,DONE
1783371021.00,0.3637,-0.2618,DONE
1783371021.11,0.3637,-0.2618,DONE
1783371021.28,0.3637,-0.2618,DONE
1783371021.36,0.3637,-0.2618,DONE
1783371021.51,0.3637,-0.2618,DONE
1783371021.69,0.3637,-0.2618,DONE
1783371021.80,0.3637,-0.2618,DONE
1783371021.88,0.3637,-0.2618,DONE
1783371021.97,0.3637,-0.2618,DONE
1783371022.13,0.3637,-0.2618,DONE
1783371022.24,0.3637,-0.2618,DONE
1783371022.37,0.3553,-0.2776,DONE
1783371022.50,0.3544,-0.2493,DONE
1783371022.64,0.3516,-0.2513,DONE
1783371022.77,0.3456,-0.2464,DONE
1783371022.88,0.3308,-0.2455,DONE
1783371023.00,0.3294,-0.2411,DONE
1783371023.13,0.3207,-0.2374,DONE
1783371023.24,0.3207,-0.2374,DONE
1783371023.38,0.3078,-0.2271,DONE
1783371023.50,0.3078,-0.2271,DONE
1783371023.63,0.3078,-0.2271,DONE
1783371023.75,0.3078,-0.2271,DONE
1783371023.86,0.3078,-0.2271,DONE
1783371024.00,0.3078,-0.2271,DONE
1783371024.11,0.3078,-0.2271,DONE
1783371024.27,0.3078,-0.2271,DONE
1783371024.38,0.3078,-0.2271,DONE
1783371024.51,0.3078,-0.2271,DONE
1783371024.68,0.2680,-0.1832,DONE
1783371024.78,0.2680,-0.1832,DONE
1783371024.88,0.2680,-0.1832,DONE
1783371025.00,0.2680,-0.1832,DONE
1783371025.17,0.2418,-0.1509,DONE
1783371025.27,0.2418,-0.1509,DONE
1783371025.39,0.2234,-0.1371,DONE
1783371025.50,0.2234,-0.1371,DONE
1783371025.61,0.2064,-0.1194,DONE
1783371025.77,0.2064,-0.1194,DONE
1783371025.88,0.2064,-0.1194,DONE
1783371026.02,0.1793,-0.1054,DONE
1783371026.14,0.1793,-0.1054,DONE
1783371026.23,0.1793,-0.1054,DONE
1783371026.38,0.1437,-0.0802,DONE
1783371026.50,0.1437,-0.0802,DONE
1783371026.64,0.1437,-0.0802,DONE
1783371026.75,0.1437,-0.0802,DONE
1783371026.86,0.1437,-0.0802,DONE
1783371026.99,0.0917,-0.0573,DONE
1783371027.13,0.0917,-0.0573,DONE
1783371027.26,0.0917,-0.0573,DONE
1783371027.42,0.0917,-0.0573,DONE
1783371027.50,0.0917,-0.0573,DONE
1783371027.74,0.0316,-0.0229,DONE
1783371027.89,0.0316,-0.0229,DONE
1783371027.95,0.0316,-0.0229,DONE
1783371028.02,0.0316,-0.0229,DONE
1783371028.15,0.0316,-0.0229,DONE
1783371028.26,-0.0239,0.0086,DONE
1783371028.39,-0.0239,0.0086,DONE
1783371028.51,-0.0239,0.0086,DONE
1783371028.65,-0.0626,0.0288,DONE
1783371028.75,-0.0626,0.0288,DONE
1783371028.88,-0.0626,0.0288,DONE
1783371029.01,-0.0626,0.0288,DONE
1783371029.14,-0.1149,0.0512,DONE
1783371029.29,-0.1149,0.0512,DONE
1783371029.38,-0.1149,0.0512,DONE
1783371029.57,-0.1523,0.0707,DONE
1783371029.63,-0.1523,0.0707,DONE
1783371029.77,-0.1523,0.0707,DONE
1783371029.87,-0.1523,0.0707,DONE
1783371030.02,-0.2021,0.0915,DONE
1783371030.14,-0.2021,0.0915,DONE
1783371030.27,-0.2329,0.1091,DONE
1783371030.40,-0.2329,0.1091,DONE
1783371030.50,-0.2329,0.1091,DONE
1783371030.66,-0.2653,0.1222,DONE
1783371030.76,-0.2653,0.1222,DONE
1783371030.90,-0.2653,0.1222,DONE
1783371031.03,-0.2990,0.1326,DONE
1783371031.17,-0.2990,0.1326,DONE
1783371031.26,-0.2990,0.1326,DONE
1783371031.37,-0.2990,0.1326,DONE
1783371031.51,-0.2990,0.1326,DONE
1783371031.63,-0.3708,0.1465,DONE
1783371031.77,-0.3708,0.1465,DONE
1783371031.90,-0.3708,0.1465,DONE
1783371032.02,-0.3708,0.1465,DONE
1783371032.13,-0.4327,0.1530,DONE
1783371032.25,-0.4327,0.1530,DONE
1783371032.40,-0.4327,0.1530,DONE
1783371032.49,-0.4327,0.1530,DONE
1783371032.67,-0.4927,0.1688,DONE
1783371032.77,-0.4927,0.1688,DONE
1783371032.90,-0.4927,0.1688,DONE
1783371033.03,-0.4927,0.1688,DONE
1783371033.13,-0.4927,0.1688,DONE
1783371033.26,-0.5563,0.1794,DONE
1783371033.39,-0.5563,0.1794,DONE
1783371033.50,-0.5563,0.1794,DONE
1783371033.65,-0.5563,0.1794,DONE
1783371033.75,-0.6117,0.1926,DONE
1783371033.89,-0.6117,0.1926,DONE
1783371034.02,-0.6117,0.1926,DONE
1783371034.15,-0.6117,0.1926,DONE
1783371034.27,-0.6685,0.2002,DONE
1783371034.41,-0.6685,0.2002,DONE
1783371034.53,-0.6685,0.2002,DONE
1783371034.62,-0.6685,0.2002,DONE
1783371034.79,-0.7319,0.2015,DONE
1783371034.90,-0.7319,0.2015,DONE
1783371035.02,-0.7319,0.2015,DONE
1783371035.15,-0.7319,0.2015,DONE
1783371035.26,-0.7782,0.2095,DONE
1783371035.39,-0.7782,0.2095,DONE
1783371035.52,-0.8119,0.2095,DONE
1783371035.65,-0.8119,0.2095,DONE
1783371035.77,-0.8119,0.2095,DONE
1783371035.87,-0.8397,0.2439,DONE
1783371036.06,-0.8397,0.2439,DONE
1783371036.17,-0.8397,0.2439,DONE
1783371036.28,-0.8657,0.2211,DONE
1783371036.39,-0.8657,0.2211,DONE
1783371036.51,-0.8657,0.2211,DONE
1783371036.65,-0.8657,0.2211,DONE
1783371036.77,-0.9039,0.2716,DONE
1783371036.88,-0.9039,0.2716,DONE
1783371037.03,-0.9039,0.2716,DONE
1783371037.16,-0.9039,0.2716,DONE
1783371037.29,-0.9303,0.2389,DONE
1783371037.40,-0.9303,0.2389,DONE
1783371037.51,-0.9303,0.2389,DONE
1783371037.66,-0.9303,0.2389,DONE
1783371037.77,-0.9627,0.2488,DONE
1783371037.91,-0.9627,0.2488,DONE
1783371038.04,-0.9627,0.2488,DONE
1783371038.13,-0.9927,0.2664,DONE
1783371038.29,-0.9927,0.2664,DONE
1783371038.43,-0.9927,0.2664,DONE
1783371038.53,-1.0310,0.2833,DONE
1783371038.66,-1.0310,0.2833,DONE
1783371038.78,-1.0310,0.2833,DONE
1783371038.90,-1.0310,0.2833,DONE
1783371039.00,-1.0310,0.2833,DONE
1783371039.15,-1.0778,0.3184,DONE
1783371039.28,-1.0778,0.3184,DONE
1783371039.39,-1.0778,0.3184,DONE
1783371039.53,-1.0778,0.3184,DONE
1783371039.64,-1.0778,0.3184,DONE
1783371039.81,-1.1250,0.3537,DONE
1783371039.92,-1.1250,0.3537,DONE
1783371040.04,-1.1250,0.3537,DONE
1783371040.17,-1.1250,0.3537,DONE
1783371040.29,-1.1250,0.3537,DONE
1783371040.41,-1.1704,0.3810,DONE
1783371040.51,-1.1704,0.3810,DONE
1783371040.65,-1.1704,0.3810,DONE
1783371040.78,-1.1704,0.3810,DONE
1783371040.92,-1.2179,0.4198,DONE
1783371041.03,-1.2179,0.4198,DONE
1783371041.18,-1.2179,0.4198,DONE
1783371041.31,-1.2179,0.4198,DONE
1783371041.39,-1.2179,0.4198,DONE
1783371041.53,-1.2179,0.4198,DONE
1783371041.67,-1.2179,0.4198,DONE
1783371041.79,-1.2650,0.4621,DONE
1783371041.92,-1.2650,0.4621,DONE
1783371042.02,-1.2650,0.4621,DONE
1783371042.16,-1.2650,0.4621,DONE
1783371042.29,-1.3062,0.4942,DONE
1783371042.44,-1.3062,0.4942,DONE
1783371042.53,-1.3062,0.4942,DONE
1783371042.64,-1.3062,0.4942,DONE
1783371042.78,-1.3062,0.4942,DONE
1783371042.91,-1.3062,0.4942,DONE
1783371043.04,-1.3495,0.5392,DONE
1783371043.18,-1.3495,0.5392,DONE
1783371043.27,-1.3495,0.5392,DONE
1783371043.44,-1.3495,0.5392,DONE
1783371043.53,-1.3495,0.5392,DONE
1783371043.64,-1.4038,0.5884,DONE
1783371043.81,-1.4038,0.5884,DONE
1783371043.93,-1.4038,0.5884,DONE
1783371044.06,-1.4038,0.5884,DONE
1783371044.15,-1.4038,0.5884,DONE
1783371044.30,-1.4038,0.5884,DONE
1783371044.41,-1.4495,0.6315,DONE
1783371044.57,-1.4495,0.6315,DONE
1783371044.64,-1.4495,0.6315,DONE
1783371044.80,-1.4495,0.6315,DONE
1783371044.91,-1.4495,0.6315,DONE
1783371045.05,-1.4495,0.6315,DONE
1783371045.17,-1.4495,0.6315,DONE
1783371045.29,-1.5067,0.6771,DONE
1783371045.42,-1.5067,0.6771,DONE
1783371045.51,-1.5067,0.6771,DONE
1783371045.72,-1.5067,0.6771,DONE
1783371045.83,-1.5277,0.6862,DONE
1783371045.95,-1.5277,0.6862,DONE
1783371046.07,-1.5189,0.6880,DONE
1783371046.18,-1.5326,0.6714,DONE
1783371046.31,-1.5326,0.6714,DONE
1783371046.44,-1.5326,0.6714,DONE
1783371046.54,-1.5326,0.6714,DONE
1783371046.68,-1.5501,0.6895,DONE
1783371046.81,-1.5501,0.6895,DONE
1783371046.93,-1.5501,0.6895,DONE
1783371047.06,-1.5501,0.6895,DONE
1783371047.17,-1.5501,0.6895,DONE
1783371047.31,-1.5418,0.6863,DONE
1783371047.41,-1.5547,0.7135,DONE
