t,x,y,state
1783371598.63,-1.0776,0.3123,
1783371598.63,-1.0776,0.3123,
1783371598.63,-1.0776,0.3123,
1783371598.63,-1.0468,0.2928,
1783371598.75,-1.0468,0.2928,DONE
1783371598.88,-1.0468,0.2928,DONE
1783371599.00,-1.0468,0.2928,DONE
1783371599.14,-1.0055,0.2671,DONE
1783371599.24,-1.0055,0.2671,DONE
1783371599.38,-1.0055,0.2671,DONE
1783371599.48,-1.0055,0.2671,DONE
1783371599.62,-0.9618,0.2357,DONE
1783371599.74,-0.9618,0.2357,DONE
1783371599.86,-0.9618,0.2357,DONE
1783371599.98,-0.9618,0.2357,DONE
1783371600.12,-0.9175,0.2014,DONE
1783371600.26,-0.9175,0.2014,DONE
1783371600.36,-0.9175,0.2014,DONE
1783371600.51,-0.9175,0.2014,DONE
1783371600.59,-0.8660,0.1621,DONE
1783371600.74,-0.8660,0.1621,DONE
1783371600.88,-0.8660,0.1621,DONE
1783371600.98,-0.8441,0.1373,DONE
1783371601.11,-0.8441,0.1373,DONE
1783371601.27,-0.8206,0.1273,DONE
1783371601.35,-0.8206,0.1273,DONE
1783371601.51,-0.8024,0.1096,DONE
1783371601.70,-0.7959,0.1031,SEARCH_CONE
1783371601.75,-0.7959,0.1031,DONE
1783371601.89,-0.7886,0.0756,DONE
1783371602.00,-0.7886,0.0756,DONE
1783371602.12,-0.7712,0.0575,DONE
1783371602.26,-0.7712,0.0575,DONE
1783371602.38,-0.7571,0.0361,DONE
1783371602.48,-0.7571,0.0361,DONE
1783371602.61,-0.7571,0.0361,DONE
1783371602.80,-0.7393,-0.0016,DONE
1783371602.86,-0.7393,-0.0016,DONE
1783371602.99,-0.7393,-0.0016,DONE
1783371603.11,-0.7393,-0.0016,DONE
1783371603.22,-0.7393,-0.0016,DONE
1783371603.39,-0.7134,-0.0651,DONE
1783371603.53,-0.7134,-0.0651,DONE
1783371603.60,-0.7134,-0.0651,DONE
1783371603.74,-0.7134,-0.0651,DONE
1783371603.87,-0.7041,-0.1162,DONE
1783371603.97,-0.7041,-0.1162,DONE
1783371604.15,-0.7041,-0.1162,DONE
1783371604.29,-0.6830,-0.1514,DONE
1783371604.37,-0.6830,-0.1514,DONE
1783371604.50,-0.6830,-0.1514,DONE
1783371604.62,-0.6820,-0.1885,DONE
1783371604.75,-0.6820,-0.1885,DONE
1783371604.87,-0.6770,-0.2127,DONE
1783371605.01,-0.6770,-0.2127,DONE
1783371605.12,-0.6770,-0.2127,DONE
1783371605.24,-0.6770,-0.2127,DONE
1783371605.38,-0.6560,-0.2738,DONE
1783371605.53,-0.6560,-0.2738,DONE
1783371605.63,-0.6560,-0.2738,DONE
1783371605.76,-0.6560,-0.2738,DONE
1783371605.88,-0.6504,-0.3269,DONE
1783371605.97,-0.6504,-0.3269,DONE
1783371606.12,-0.6504,-0.3269,DONE
1783371606.26,-0.6504,-0.3269,DONE
1783371606.36,-0.6448,-0.3923,DONE
1783371606.50,-0.6448,-0.3923,DONE
1783371606.62,-0.6448,-0.3923,DONE
1783371606.73,-0.6448,-0.3923,DONE
1783371606.87,-0.6494,-0.4397,DONE
1783371607.00,-0.6494,-0.4397,DONE
1783371607.10,-0.6494,-0.4397,DONE
1783371607.25,-0.6494,-0.4397,DONE
1783371607.38,-0.6508,-0.4994,DONE
1783371607.48,-0.6508,-0.4994,DONE
1783371607.62,-0.6508,-0.4994,DONE
1783371607.77,-0.6508,-0.4994,DONE
1783371607.85,-0.6502,-0.5460,DONE
1783371608.01,-0.6502,-0.5460,DONE
1783371608.13,-0.6502,-0.5460,DONE
1783371608.25,-0.6502,-0.5460,DONE
1783371608.37,-0.6534,-0.6082,DONE
1783371608.53,-0.6534,-0.6082,DONE
1783371608.61,-0.6534,-0.6082,DONE
1783371608.77,-0.6534,-0.6082,DONE
1783371608.88,-0.6481,-0.6580,DONE
1783371609.00,-0.6481,-0.6580,DONE
1783371609.15,-0.6466,-0.6888,DONE
1783371609.25,-0.6466,-0.6888,DONE
1783371609.38,-0.6371,-0.7053,DONE
1783371609.50,-0.6371,-0.7053,DONE
1783371609.64,-0.6371,-0.7053,DONE
1783371609.75,-0.6371,-0.7053,DONE
1783371609.86,-0.6275,-0.7640,DONE
1783371610.01,-0.6275,-0.7640,DONE
1783371610.20,-0.6275,-0.7640,SEARCH_CONE
1783371610.24,-0.6275,-0.7640,DONE
1783371610.40,-0.6151,-0.8231,DONE
1783371610.53,-0.6151,-0.8231,DONE
1783371610.63,-0.6151,-0.8231,DONE
1783371610.76,-0.6151,-0.8231,DONE
1783371610.88,-0.5933,-0.8741,DONE
1783371610.99,-0.5933,-0.8741,DONE
1783371611.14,-0.5933,-0.8741,DONE
1783371611.29,-0.5933,-0.8741,DONE
1783371611.37,-0.5933,-0.8741,DONE
1783371611.51,-0.5830,-0.9308,DONE
1783371611.63,-0.5830,-0.9308,DONE
1783371611.74,-0.5830,-0.9308,DONE
1783371611.88,-0.5698,-0.9783,DONE
1783371612.02,-0.5698,-0.9783,DONE
1783371612.12,-0.5698,-0.9783,DONE
1783371612.27,-0.5698,-0.9783,DONE
1783371612.39,-0.5672,-1.0312,DONE
1783371612.50,-0.5672,-1.0312,DONE
1783371612.64,-0.5672,-1.0312,DONE
1783371612.77,-0.5672,-1.0312,DONE
1783371612.89,-0.5570,-1.0814,DONE
1783371613.00,-0.5570,-1.0814,DONE
1783371613.14,-0.5570,-1.0814,DONE
1783371613.27,-0.5570,-1.0814,DONE
1783371613.40,-0.5585,-1.1257,DONE
1783371613.51,-0.5585,-1.1257,DONE
1783371613.62,-0.5508,-1.1642,DONE
1783371613.78,-0.5508,-1.1642,DONE
1783371613.90,-0.5577,-1.1869,DONE
1783371613.99,-0.5577,-1.1869,DONE
